Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"takeScreenshot(""/home/iauro-qa004/Katalon Studio/Anuroop hybrid app/AndroidApp/screenshot.png"")",,,2019-05-16 14:53:27,2019-05-16 14:53:31,3.213s,PASSED
"comment(""Enter password"")",,,2019-05-16 14:53:31,2019-05-16 14:53:31,0.001s,PASSED
"setText(findTestObject(""Login/Password""), ""anuroop50"", 0)",,,2019-05-16 14:53:31,2019-05-16 14:53:32,1.247s,PASSED
delay(5),,,2019-05-16 14:53:32,2019-05-16 14:53:37,5.002s,PASSED
driver = getDriver(),,,2019-05-16 14:53:37,2019-05-16 14:53:37,0.001s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),,,2019-05-16 14:53:37,2019-05-16 14:53:37,0.000s,PASSED
"log.logInfo(""----------------------------- Page Information : "" + driver.getPageSource())",,,2019-05-16 14:53:37,2019-05-16 14:53:37,0.365s,PASSED
"getAttribute(findTestObject(""Login/Login""), ""text"", 0)",,,2019-05-16 14:53:37,2019-05-16 14:53:38,0.397s,PASSED
"comment(""Click on Login button"")",,,2019-05-16 14:53:38,2019-05-16 14:53:38,0.002s,PASSED
"tap(findTestObject(""Login/Login""), 0)",,,2019-05-16 14:53:38,2019-05-16 14:53:39,1.046s,PASSED
"waitForElementPresent(findTestObject(""Home Page/Choose a type of match""), 0)",,,2019-05-16 14:53:39,2019-05-16 14:53:44,5.646s,PASSED
"waitForElementPresent(findTestObject(""Home Page/More""), 0)",,,2019-05-16 14:53:44,2019-05-16 14:53:45,0.479s,PASSED
"tap(findTestObject(""Home Page/More""), 0)",,,2019-05-16 14:53:45,2019-05-16 14:53:46,1.347s,PASSED
"com.my.keywords.android.ScrollToElement.scrollListToElementWithText(""Events"")",,,2019-05-16 14:53:46,2019-05-16 14:53:55,8.594s,PASSED
"waitForElementPresent(findTestObject(""More Page/Events""), 0)",,,2019-05-16 14:53:55,2019-05-16 14:53:55,0.437s,PASSED
delay(1),,,2019-05-16 14:53:55,2019-05-16 14:53:56,1.002s,PASSED
"tap(findTestObject(""More Page/Events""), 5)",,,2019-05-16 14:53:56,2019-05-16 14:53:58,1.280s,PASSED
"com.my.keywords.android.ScrollToElement.scrollListToElementWithText(""May 26, 2019 Caste No Bar Thet Bhet Program @ Pune"")",,,2019-05-16 14:53:58,2019-05-16 14:54:06,8.907s,PASSED
"tap(findTestObject(""EventsPage/Back_button""), 0)",,,2019-05-16 14:54:06,2019-05-16 14:54:08,1.445s,PASSED
